Name,LunchRating
Bansankyoushoku  ,
Azuki  ,
Ichibakouji  ,3.2
Sumikatominokouji  ,3.05
zensekikoshitsuizakayasakurakomachi  ,
Imomatsu  ,
Rakuchin  ,
Mogu piatti  ,
sute-kihausupondo  ,3.1
Taichirouya  ,
Yakinikuhorumongyuuteruryourianiki  ,3.12
shioriya  ,3.02
Bar MICHIya  ,
Kushidainigusumiyakiromanya  ,
Daniel's Luce   ,
Trattoria La Voce  ,3.53
Saketosakanatootokomaeshokudou  ,3.03
Karyou  ,3.71
Kyoutotawahoteruokujoubiagaden  ,3.01
kyouchabana  ,
giwonizakayamomojirou  ,
zeppinryokuchadashishabunoomiseiemon  ,
Kyo gastronomy KOZO  ,3.06
Teramachihambagugokurakutombo  ,3.04
Karasumarugenkiichiba  ,
Ikkon  ,
Taketorineo  ,
kyouyasaitosousakuryourinakaya  ,
Grelot  ,3.24
kyoutoteppantachibana  ,3.02
Itameshioriva  ,
CRAFT BEER & PIZZA 100K HYAKKEI  ,3.0
Shunsaidaininguitokoya  ,
Izakayaanji  ,
Bankokugaden  ,3.09
Yakinikubaruyaruki  ,
Osuteriaebaruporenta  ,3.08
Tajimaya  ,3.0
Torisei  ,3.07
Old School wine and spirits  ,
Tsubakurosupponshokudou  ,
Rudensu  ,3.06
zensekikoshitsuizakayataketorigoten  ,
Arata  ,
Hachisei  ,3.02
Sentojemusukurabu  ,3.02
Kyoutonishikitempurasakabataneshichi  ,3.06
Roti Chicken&Jackie Tacos  ,3.52
Gurugurudon  ,
Rohan  ,
Jukuseiyakinikupondo  ,3.06
kyoumachiyaitarianronkusu  ,3.05
Shunkouhinaka  ,
Fujiwara  ,3.12
Tarou  ,
Osakekafepuchipuchi  ,
MAWARI  ,
Oumiyaseiemon  ,3.53
Sanji  ,
Kyouryourimaiko  ,
waingurashiori  ,
HOMURA  ,
Wine Bar Musée  ,
Gokoumachiono  ,3.04
Hamachou  ,
osakenobijutsukankyoutosanjoukarasumaretoropabu  ,3.08
Sumibiyakinikuou  ,
Kichiri  ,
kyouyakiyomizuhonke  ,
Itariankuatoro  ,3.06
fu-zuba-shioriya  ,3.02
SinSin  ,
Kyoukarasuma  ,3.05
konana  ,3.0
Eijuan  ,3.0
Youfuushuzenumakarou  ,
kyoutogyuukaisekiinayoshi  ,3.38
Sumibikushiyakitsujiya  ,3.1
Koji  ,3.39
Iharada  ,
gionkurashita  ,3.02
Furenchimanjunia  ,3.12
Kaisen  ,
Karibunoutage  ,
Teppou  ,
Kyouryouriyumekaisekitaniguchi  ,3.5
Kinnotsubasaerudoru  ,3.0
Umekoujikorabo  ,3.06
Yoshina  ,
Zakicchinsaruvatorekuomo  ,3.48
Kyounosakanakatsugi  ,
Kawamuraryourihei  ,3.08
Kyoutokimurayahonten  ,3.03
Kyouyakiyomizu  ,
Tsushima  ,3.12
Sherikurabu  ,
kaisekifuransuryourigurumantachibana  ,3.39
THE ROCKIN' HEARTS  ,3.08
wainshokudouumiusagi  ,
Soufuku  ,
Baruagiyao  ,3.05
Danieruzusore  ,3.37
Shuuhou  ,
Amakudoparadhikambaikan  ,3.32
Shikisaishiwori  ,
Kyouwazentainotai  ,3.39
Nagamegawapontochouhana  ,3.35
mekishikandaininguabokado  ,3.22
nikubaruginjirou  ,
Kyoutofushimigura  ,
yakinikuyaruki  ,
yakinikuyaruki  ,
Aburiya  ,
nikudokoroikkou  ,3.03
yakinikuyaruki  ,
LOBUTA  ,
OICHO  ,3.07
teppanyakiaoi  ,3.15
yakinikuyaruki  ,
Kyoutosakabaakamaru  ,
Sara Sara  ,
Southern Court  ,3.54
Gionshimmonsou  ,
Tenkanoyakinikudaishougun  ,3.36
il pozzo  ,3.08
kyouryouriuryuu  ,3.16
Rakusenrou  ,3.38
Kishouzakura  ,3.06
ryoushigoya  ,3.51
nikubarudakara  ,3.03
BARVIDA  ,3.04
kafeandodainingubambi  ,3.05
Erudoru  ,3.13
Ippinhashinaga  ,3.51
Nabetoshunsaitokyouryourikaryuu  ,3.33
kafeandodainingubambikarasuma  ,3.06
Thiemuanfonvietto  ,3.51
Kurepurikyoutoshanderu  ,3.51
Risutoranteazekura  ,3.07
Saryouhassui  ,3.51
Sala Suite Caffe Rucola   ,3.27
Apollo+  ,
Houen  ,3.0
Furenchiman  ,
Arigatou  ,
Kyousainikushima  ,
kurabuhausuminami  ,
Pittsusarubatorekuomoandoguriru  ,3.07
Fresco  ,
Rengetsudiya  ,3.07
gyuukushibunzou  ,
PREGO TOKICHI  ,
sumibiyakiyasaiyaoki  ,3.02
Osakanazukkorobashi  ,
Torimasa  ,
Aguuru  ,3.43
Yakinikunonki  ,3.07
Adan  ,
Oushokuyakappa  ,3.06
Minari  ,3.05
Daichinokura  ,
sumibisute-kisakaikyoutosanjou  ,3.53
Ryuuhourakuenchura  ,
Byuandodainingukotoshieru  ,3.06
Karin  ,3.51
Fujiya  ,3.07
Kyoutokimurayahonten  ,
Joukoya  ,
Nikukappoubarugyugyu  ,3.06
furenchigiombarumaruhashi  ,3.14
nikubaruginjirou  ,3.48
Sumibikushiyakitsujiya  ,
